result_dir,output_file,strategy_dir,output_strategy,bbox_name,split,index,prompt,bbox_xyxy,bbox_source,threshold,inside_output_target_l1,inside_output_target_mse,outside_output_source_l1,outside_output_source_mse,outside_outer_output_source_l1,outside_outer_output_source_mse,whole_output_source_l1,whole_output_target_l1,clip_output_prompt_similarity,clip_target_prompt_similarity,lpips_output_target_whole,lpips_output_source_whole,lpips_output_target_inside_bbox,lpips_output_source_inside_bbox,changed_pixels,bbox_pixels,changed_bbox_iou,changed_inside_bbox_ratio,bbox_coverage_by_change,changed_center_x,changed_center_y,changed_to_bbox_center_distance_px,changed_to_bbox_center_distance_norm
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_bottom_left_strategy_b.png,strategy_b_corners,strategy_b,bottom_left,test,0,Add a metallic spoon,"[0, 423, 224, 512]",info,0.08,0.024703364819288254,0.0010862956987693906,0.01556734275072813,0.0032791774719953537,0.015161332674324512,0.0033470764756202698,0.016244886443018913,0.053834497928619385,nan,nan,nan,nan,nan,nan,7932,19936,0.012534970751734913,0.043494704992435705,0.0173053772070626,325.77081298828125,385.884521484375,228.82099295957346,0.3160173355460032
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_bottom_right_strategy_b.png,strategy_b_corners,strategy_b,bottom_right,test,0,Add a metallic spoon,"[8, 312, 512, 512]",info,0.08,0.046976711601018906,0.011438208632171154,0.0,0.0,0.0,0.0,0.01617664098739624,0.0537620484828949,nan,nan,nan,nan,nan,nan,7881,100800,0.07818452380952381,1.0,0.07818452380952381,335.1082458496094,387.2549133300781,79.07950372193359,0.10921416666923059
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_center_strategy_b.png,strategy_b_corners,strategy_b,center,test,0,Add a metallic spoon,"[4, 156, 508, 356]",info,0.08,0.15713638067245483,0.06042768061161041,0.0,0.0,0.0,0.0,0.03921881318092346,0.06299926340579987,nan,nan,nan,nan,nan,nan,26817,100800,0.2660416666666667,1.0,0.2660416666666667,249.57757568359375,251.99339294433594,7.569705027176642,0.010454276867770512
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_original_strategy_b.png,strategy_b_corners,strategy_b,original,test,0,Add a metallic spoon,"[0, 144, 504, 344]",info,0.08,0.15523231029510498,0.05936875194311142,0.0,0.0,0.0,0.0,0.03849480673670769,0.062048640102148056,nan,nan,nan,nan,nan,nan,26677,100800,0.2646527777777778,1.0,0.2646527777777778,241.87753295898438,245.31503295898438,10.207529117257653,0.014097291128851601
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_top_left_strategy_b.png,strategy_b_corners,strategy_b,top_left,test,0,Add a metallic spoon,"[0, 0, 504, 200]",info,0.08,0.0676426887512207,0.017023824155330658,0.0,0.0,0.0,0.0,0.022354036569595337,0.05589497834444046,nan,nan,nan,nan,nan,nan,13928,100800,0.13817460317460317,1.0,0.13817460317460317,193.3091583251953,132.03330993652344,66.86365112664998,0.09234324438778464
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_top_right_strategy_b.png,strategy_b_corners,strategy_b,top_right,test,0,Add a metallic spoon,"[288, 0, 512, 89]",info,0.08,0.038554415106773376,0.0028738942928612232,0.021062714979052544,0.005559780169278383,0.020561804994940758,0.005670262034982443,0.022388756275177002,0.05580544471740723,nan,nan,nan,nan,nan,nan,14048,19936,0.054715868532944356,0.125498291571754,0.08843298555377208,197.5241241455078,132.28616333007812,220.68731448648987,0.30478417303758826
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_1_seed1234_bbox_bottom_left_strategy_b.png,strategy_b_corners,strategy_b,bottom_left,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[0, 400, 104, 512]",info,0.08,0.01395655982196331,0.0003410507633816451,0.0036513807717710733,0.0002880977117456496,0.0033157458528876305,0.00028001252212561667,0.004107441753149033,0.023061061277985573,nan,nan,nan,nan,nan,nan,2012,11648,0.0018335166850018336,0.01242544731610338,0.002146291208791209,114.02385711669922,393.4880676269531,88.06077753827243,0.12161791592553212
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_1_seed1234_bbox_bottom_right_strategy_b.png,strategy_b_corners,strategy_b,bottom_right,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[304, 288, 512, 512]",info,0.08,0.023238273337483406,0.0042135450057685375,0.0,0.0,0.0,0.0,0.0035647577606141567,0.021959776058793068,nan,nan,nan,nan,nan,nan,2058,46592,0.04417067307692308,1.0,0.04417067307692308,325.2001953125,324.34014892578125,112.1615830882442,0.15490276560608565
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_1_seed1234_bbox_center_strategy_b.png,strategy_b_corners,strategy_b,center,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[152, 144, 360, 368]",info,0.08,0.18953730165958405,0.08262765407562256,0.0,0.0,0.0,0.0,0.042743243277072906,0.03591601550579071,nan,nan,nan,nan,nan,nan,24890,46592,0.5342118818681318,1.0,0.5342118818681318,276.7190856933594,249.04391479492188,21.855608738927312,0.030184080363780216
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_1_seed1234_bbox_original_strategy_b.png,strategy_b_corners,strategy_b,original,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[184, 136, 392, 360]",info,0.08,0.21690872311592102,0.09980189055204391,0.0,0.0,0.0,0.0,0.04850268363952637,0.04041692987084389,nan,nan,nan,nan,nan,nan,26595,46592,0.570806146978022,1.0,0.570806146978022,282.99139404296875,244.0496368408203,6.378989161474806,0.008809817369520164
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_1_seed1234_bbox_top_left_strategy_b.png,strategy_b_corners,strategy_b,top_left,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[0, 0, 208, 224]",info,0.08,0.040161121636629105,0.006257116794586182,0.0,0.0,0.0,0.0,0.007102268282324076,0.025180572643876076,nan,nan,nan,nan,nan,nan,4963,46592,0.1065204326923077,1.0,0.1065204326923077,137.74551391601562,109.6633071899414,33.82631878795834,0.04671644413582668
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_1_seed1234_bbox_top_right_strategy_b.png,strategy_b_corners,strategy_b,top_right,test,1,"Add a striped cat with gray and white fur, blue eyes, and a collar with a tag","[408, 0, 512, 112]",info,0.08,0.02237843908369541,0.0012931999517604709,0.003961401060223579,0.0003433939127717167,0.003413126803934574,0.0003049763909075409,0.00477659422904253,0.023196067661046982,nan,nan,nan,nan,nan,nan,3098,11648,0.03560643303602781,0.16365397030342158,0.04352678571428571,374.4657897949219,73.61135864257812,87.3284665423824,0.12060654469285376
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_2_seed1234_bbox_bottom_left_strategy_b.png,strategy_b_corners,strategy_b,bottom_left,test,2,Add a person in a yellow vest,"[0, 400, 44, 512]",info,0.08,0.079367995262146,0.011468603275716305,0.009902914986014366,0.0006995390285737813,0.008881017565727234,0.0005580236320383847,0.011211279779672623,0.08578187972307205,nan,nan,nan,nan,nan,nan,7827,4928,0.1692180768173068,0.23585026191388783,0.37459415584415584,73.10552978515625,387.3337097167969,85.59693099567653,0.11821517647617158
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_2_seed1234_bbox_bottom_right_strategy_b.png,strategy_b_corners,strategy_b,bottom_right,test,2,Add a person in a yellow vest,"[312, 0, 512, 512]",info,0.08,0.043758295476436615,0.0052057309076189995,0.0,0.0,0.0,0.0,0.016791662201285362,0.09569817781448364,nan,nan,nan,nan,nan,nan,15924,102400,0.1555078125,1.0,0.1555078125,415.07122802734375,331.8941955566406,75.95631218526576,0.10490082699242931
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_2_seed1234_bbox_center_strategy_b.png,strategy_b_corners,strategy_b,center,test,2,Add a person in a yellow vest,"[156, 0, 356, 512]",info,0.08,0.14885351061820984,0.05762866139411926,0.0,0.0,0.0,0.0,0.04268544539809227,0.08053337037563324,nan,nan,nan,nan,nan,nan,34911,102400,0.340927734375,1.0,0.340927734375,215.12110900878906,262.55987548828125,41.40188033281894,0.057178809252363724
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_2_seed1234_bbox_original_strategy_b.png,strategy_b_corners,strategy_b,original,test,2,Add a person in a yellow vest,"[88, 0, 288, 512]",info,0.08,0.20080390572547913,0.08341840654611588,0.0,0.0,0.0,0.0,0.02395668812096119,0.08151266723871231,nan,nan,nan,nan,nan,nan,19694,102400,0.19232421875,1.0,0.19232421875,228.54428100585938,297.1466369628906,57.76577235386026,0.07977845576541598
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_2_seed1234_bbox_top_left_strategy_b.png,strategy_b_corners,strategy_b,top_left,test,2,Add a person in a yellow vest,"[0, 0, 200, 512]",info,0.08,0.1350269615650177,0.051701948046684265,0.0,0.0,0.0,0.0,0.011211279779672623,0.08578187972307205,nan,nan,nan,nan,nan,nan,7827,102400,0.076435546875,1.0,0.076435546875,73.10552978515625,387.3337097167969,134.05915051242485,0.18514479376453835
results/final_demo_bbox_variation/strategy_b_corners,strategy_b_final_epoch_0010_step_002560_test_2_seed1234_bbox_top_right_strategy_b.png,strategy_b_corners,strategy_b,top_right,test,2,Add a person in a yellow vest,"[468, 0, 512, 112]",info,0.08,0.008389567025005817,0.00011142275616293773,0.01695333421230316,0.0020103054121136665,0.01690375991165638,0.0020247246138751507,0.016791662201285362,0.09569817781448364,nan,nan,nan,nan,nan,nan,15924,4928,0.0,0.0,0.0,415.07122802734375,331.8941955566406,285.8879640893897,0.39483069935004617
results/final_demo_bbox_variation/strategy_b_small-corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_bottom_left_strategy_b.png,strategy_b_small-corners,strategy_b,bottom_left,test,0,Add a metallic spoon,"[0, 423, 224, 512]",info,0.08,0.025241294875741005,0.0011401813244447112,0.0,0.0,0.0,0.0,0.0019016291480511427,0.040841396898031235,nan,nan,nan,nan,nan,nan,386,19936,0.01936195826645265,1.0,0.01936195826645265,103.58549499511719,461.487060546875,10.34211464566822,0.014283162886251378
results/final_demo_bbox_variation/strategy_b_small-corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_bottom_right_strategy_b.png,strategy_b_small-corners,strategy_b,bottom_right,test,0,Add a metallic spoon,"[8, 312, 512, 512]",info,0.08,0.016095951199531555,0.0022464704234153032,0.0,0.0,0.0,0.0,0.0029898101929575205,0.04188774153590202,nan,nan,nan,nan,nan,nan,2087,100800,0.02070436507936508,1.0,0.02070436507936508,408.9563903808594,467.47772216796875,158.95214340247603,0.21952370797661588
results/final_demo_bbox_variation/strategy_b_small-corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_center_strategy_b.png,strategy_b_small-corners,strategy_b,center,test,0,Add a metallic spoon,"[4, 156, 508, 356]",info,0.08,0.11209405958652496,0.03771586716175079,0.0,0.0,0.0,0.0,0.009929592721164227,0.04567951336503029,nan,nan,nan,nan,nan,nan,7431,100800,0.07372023809523809,1.0,0.07372023809523809,250.90821838378906,252.00430297851562,6.472390185602439,0.00893881052875926
results/final_demo_bbox_variation/strategy_b_small-corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_original_strategy_b.png,strategy_b_small-corners,strategy_b,original,test,0,Add a metallic spoon,"[0, 144, 504, 344]",info,0.08,0.11490403115749359,0.03996380418539047,0.0,0.0,0.0,0.0,0.011120396666228771,0.046541545540094376,nan,nan,nan,nan,nan,nan,8092,100800,0.08027777777777778,1.0,0.08027777777777778,238.42066955566406,242.9941864013672,13.616529525237462,0.018805352272504395
results/final_demo_bbox_variation/strategy_b_small-corners,strategy_b_final_epoch_0010_step_002560_test_0_seed1234_bbox_top_left_strategy_b.png,strategy_b_small-corners,strategy_b,top_left,test,0,Add a metallic spoon,"[0, 0, 504, 200]",info,0.08,0.03058190643787384,0.005788327660411596,0.0,0.0,0.0,0.0,0.002742368495091796,0.04164430871605873,nan,nan,nan,nan,nan,nan,1572,100800,0.015595238095238096,1.0,0.015595238095238096,137.56678771972656,45.90076446533203,126.57680418709269,0.17481116519846684
